"","Cluster","Intensity.sum","Intensity","Volume","Area","seurat_clusters","Timepoint","nCount_RNA","Pseudotime","percent_RNA"
"T2-17","C_1",71206900,20544.4,20.763,43.5861,"C_0","2_h","994481","5.56184300768154","0.00955001706936114"
"T2-19","C_1",62508900,23315.5,16.1393,41.0521,"C_0","2_h","800524","5.34745896136722","0.00768744487268561"
"T2-20","C_0",31776100,43057,4.4124,16.0848,"C_1","2_h","811811","3.81079719454778","0.00779583411557902"
"T2-21","C_0",23607700,9072.89,15.6914,32.9452,"C_1","2_h","768352","4.05127783292973","0.00737849663822413"
"T2-24","C_0",35096600,21584.6,9.84415,25.792,"C_1","2_h","458020","2.18651812267142","0.00439837344113039"
"T2-27","C_1",36622000,25663.6,8.5502,24.3218,"C_0","2_h","619766","10.3079907563123","0.00595162288571595"
"T2-31","C_1",14869600,22259.9,3.89234,16.3324,"C_0","2_h","420319","10.48552564658","0.00403633013056741"
"T2-32","C_1",6834210,15893.5,2.52341,10.9308,"C_0","2_h","858705","9.86316568418327","0.00824615795328997"
"T2-36","C_1",34353200,20424,9.87186,28.4679,"C_0","2_h","918200","6.33211218839024","0.00881748939706983"
"T2-37","C_0",58571400,35199.2,9.92038,29.9686,"C_1","2_h","846599","2.69716629563421","0.00812990384019813"
"T2-38","C_0",55271000,33640.3,9.2784,27.0757,"C_1","2_h","492966","3.46584361498171","0.00473396044229572"
"T2-39","C_0",11663000,19701,3.58033,13.4389,"C_1","2_h","718501","2.98568379840986","0.00689977668186024"
"T2-41","C_1",21242800,21457.4,5.70286,18.0962,"C_0","2_h","1410463","6.78478174130431","0.0135446989190365"
"T2-42","C_1",39895800,25856,9.04686,25.5291,"C_0","2_h","521801","7.24846198894712","0.00501086341198043"
"T2-43","C_1",47360900,13535.6,20.7257,45.5139,"C_0","2_h","1491689","9.8856012876025","0.014324713506018"
"T2-45","C_1",28999800,20509,8.23129,22.74,"C_0","2_h","1341266","7.91427305383831","0.012880199012906"
"T2-46","C_1",38016200,15993.3,14.0916,34.8714,"C_1","2_h","865791","9.80416570971245","0.008314204925483"
"T2-47","C_1",16559600,14959,6.70063,20.7579,"C_0","2_h","1593541","4.99591947915802","0.0153027999033937"
"T2-48","C_1",19490100,18096.7,6.31864,19.7565,"C_0","2_h","952576","7.52262534086152","0.00914760267904944"
"T2-49","C_0",35409600,23974,8.81868,23.9204,"C_1","2_h","580272","4.0857700605291","0.00557236136725823"
"T2-50","C_0",31202800,19636.7,9.54621,25.7257,"C_1","2_h","163142","4.30185043603961","0.00156665525508252"
"T2-51","C_1",80603300,22315.4,21.6938,45.409,"C_0","2_h","1046515","8.90674565582145","0.0100497004099047"
"T2-52","C_1",19447700,16779.7,6.919,19.8281,"C_0","2_h","987088","4.27965719317648","0.00947902197122072"
"T2-56","C_1",210694000,31470.3,40.2642,70.3127,"C_0","2_h","775011","6.60174356216745","0.00744244312253593"
"T2-57","C_0",254804000,46126.6,33.0195,57.8592,"C_1","2_h","254508","3.45361359424829","0.00244404442547315"
"T2-58","C_1",91016100,27572.3,19.4993,41.775,"C_0","2_h","1222434","6.22007752423796","0.0117390534018925"
"T2-59","C_0",39625600,26719.9,8.78991,23.8055,"C_1","2_h","681433","7.00691157058092","0.00654381208049824"
"T2-60","C_1",98169900,24025.9,24.487,50.7188,"C_0","2_h","955389","7.60623702483991","0.00917461596338178"
"T2-61","C_1",62530500,26563.5,14.2922,33.2108,"C_1","2_h","1273976","5.98218665671425","0.0122340120585073"
"T2-62","C_1",70909900,26587.9,15.8241,38.8929,"C_0","2_h","1122792","7.32616878811942","0.0107821896701316"
"T2-63","C_0",92878000,24454.5,22.6683,51.7527,"C_1","2_h","312555","3.1699891454918","0.00300147070191806"
"T4-25","C_1",41898700,23698.3,10.6902,30.0257,"C_0","4_h","1021802","8.40339404522133","0.0098123810726473"
"T4-26","C_1",69731800,27356.5,15.2291,35.5101,"C_0","4_h","1731690","8.76675038622709","0.0166294469767064"
"T4-30","C_1",51128600,34222.7,9.27477,25.8862,"C_0","4_h","1023586","7.78370967946951","0.009829512853397"
"T4-31","C_0",27072500,14415.6,11.0933,27.0897,"C_1","4_h","680954","2.6163062906712","0.00653921223577901"
"T4-34","C_0",44441800,32392,8.07762,22.2316,"C_1","4_h","1272994","6.95513473899886","0.0122245818966821"
"T4-35","C_0",9099400,11289.6,4.73783,16.4669,"C_1","4_h","732910","10.6801364119259","0.00703814654106562"
"T4-36","C_0",12381100,10492.4,6.88439,22.4514,"C_1","4_h","822711","7.88739631666988","0.00790050699123581"
"T4-39","C_1",1166280000,53024.6,131.148,152.388,"C_1","4_h","439356","8.54388288710627","0.0042191427483544"
"T4-40","C_0",54565200,30568.8,10.6159,27.4834,"C_1","4_h","1340586","5.86473792196191","0.0128736689619476"
"T4-43","C_1",45466100,17956.6,15.205,37.7244,"C_0","4_h","1544744","9.46378992025613","0.0148342015260153"
"T4-44","C_0",11455300,20419.5,3.35801,13.1469,"C_1","4_h","944858","9.34515025850096","0.00907348660067154"
"T4-45","C_0",42719300,30297.4,8.31269,23.5301,"C_3","4_h","594055","6.52388479909361","0.00570471973837543"
"T4-46","C_0",44995400,26359.3,10.1744,27.0226,"C_3","4_h","1582189","5.81681412842008","0.0151937864644528"
"T4-47","C_1",34213300,29570.7,6.86771,20.4109,"C_0","4_h","1613356","12.1442316130151","0.0154930836677184"
"T8-39","C_2",79046200,34174.8,13.7098,32.5545,"C_2","8_h","903290","13.0222525106867","0.00867430842679069"
"T8-41","C_0",6695400,7025.61,5.56517,17.9453,"C_3","8_h","297585","12.0321640903971","0.00285771355067199"
"T8-43","C_2",45097000,16537.2,16.1432,34.0323,"C_2","8_h","40850","15.5757730850392","0.000392283208310066"
"T8-44","C_2",15792000,11239.9,8.24757,22.6931,"C_2","8_h","1011678","15.0074582691864","0.00971516013749599"
"T8-46","C_1",34229400,13631.8,14.8832,36.0597,"C_0","8_h","543265","4.10159274891311","0.00521698254987927"
"T8-50","C_2",30962300,17990.9,10.2835,29.3879,"C_2","8_h","1461065","13.4649023340193","0.014030630740503"
"T8-51","C_0",36075600,18779.6,11.7537,28.324,"C_3","8_h","899424","3.46685883263514","0.00863718316648893"
"T8-52","C_2",28330400,25731.5,6.45669,21.0967,"C_2","8_h","586226","11.2897462060684","0.00562953772520873"
"T8-54","C_0",7586640,12498.6,3.31388,16.3564,"C_3","8_h","993497","2.35705021686587","0.00954056770150369"
"T8-55","C_2",17254500,12211.3,8.16147,24.0046,"C_2","8_h","1575355","13.9824827336504","0.0151281594523208"
"T8-56","C_2",130841000,31421.9,25.0028,47.5551,"C_2","8_h","33332","14.2165972324686","0.000320087733155229"
"T12-25","C_2",34968600,12211.3,10.3018,24.0046,"C_2","12_h","1316184","14.5654703379773","0.012639336162702"
"T20-1","C_2",18022200,31421.9,30.3691,47.5551,"C_4","20_h","1888416","19.172546228862","0.0181344892803932"
"T20-14","C_2",98284500,12211.3,18.9564,24.0046,"C_4","20_h","888428","17.4076069303344","0.00853158840128508"
"T20-20","C_2",6672350,31421.9,9.10837,47.5551,"C_4","20_h","2602296","18.5681137191277","0.0249898904247846"
