;Timepoint;num_genes_expressed;Groups
T0-10;0;1610;C
T0-11;0;2060;C
T0-1;0;1528;C
T0-12;0;1760;C
T0-16;0;1636;C
T0-19;0;1447;C
T0-2;0;1234;C
T0-20;0;1768;C
T0-21;0;938;C
T0-22;0;1473;C
T0-23;0;1928;C
T0-3;0;934;C
T0-4;0;1353;C
T0-5;0;1303;C
T0-6;0;1343;C
T0-7;0;1551;C
T0-9;0;1988;C
T2-10;2;1521;C
T2-13;2;1103;B
T2-15;2;1159;C
T2-16;2;1490;A
T2-17;2;1654;A
T2-19;2;1373;C
T2-20;2;1157;C
T2-21;2;1086;C
T2-23;2;1399;A
T2-24;2;895;B
T2-27;2;1304;B
T2-30;2;1297;C
T2-31;2;1411;A
T2-32;2;1361;A
T2-36;2;1529;A
T2-37;2;832;B
T2-38;2;1006;B
T2-39;2;622;B
T2-41;2;1399;C
T2-42;2;1568;A
T2-43;2;1784;A
T2-45;2;1616;A
T2-46;2;1480;C
T2-47;2;1492;A
T2-48;2;1564;A
T2-49;2;940;B
T2-50;2;824;B
T2-51;2;1727;A
T2-52;2;1767;A
T2-56;2;1637;A
T2-57;2;872;B
T2-58;2;1764;A
T2-59;2;1298;C
T2-60;2;1794;A
T2-61;2;1167;B
T2-62;2;1657;A
T2-63;2;1062;C
T2-9;2;1651;A
T4-10;4;1274;B
T4-1;4;1512;A
T4-12;4;1001;B
T4-14;4;942;C
T4-15;4;677;B
T4-17;4;906;B
T4-19;4;1124;B
T4-20;4;790;B
T4-2;4;842;B
T4-24;4;1027;B
T4-25;4;1299;B
T4-26;4;1828;C
T4-30;4;1281;C
T4-31;4;917;B
T4-3;4;860;B
T4-34;4;1300;C
T4-35;4;1126;B
T4-36;4;1562;A
T4-39;4;1636;C
T4-40;4;1486;C
T4-4;4;622;B
T4-43;4;1637;C
T4-44;4;1207;B
T4-45;4;1307;A
T4-46;4;1318;C
T4-47;4;1645;C
T4-5;4;1004;B
T4-6;4;1235;B
T4-7;4;1062;B
T8-39;8;1684;C
T8-41;8;1018;C
T8-43;8;943;C
T8-44;8;1337;C
T8-45;8;1279;C
T8-46;8;1131;C
T8-49;8;1398;C
T8-50;8;1355;C
T8-51;8;1324;C
T8-52;8;1029;C
T8-53;8;1793;C
T8-54;8;943;C
T8-55;8;1863;C
T8-56;8;957;C
T8-58;8;1973;C
T8-59;8;1664;C
T8-61;8;1479;C
T8-62;8;1754;C
T8-63;8;1447;C
T12-24;12;1350;C
T12-25;12;1235;C
T12-31;12;1173;C
T12-32;12;1281;C
T12-35;12;1172;C
T12-36;12;1294;C
T12-39;12;1072;C
T12-40;12;1011;C
T20-10;20;711;C
T20-11;20;1316;C
T20-1;20;898;C
T20-12;20;1246;C
T20-13;20;926;C
T20-14;20;797;C
T20-17;20;853;C
T20-18;20;840;C
T20-19;20;1088;C
T20-20;20;1193;C
T20-2;20;996;C
T20-3;20;1134;C
T20-6;20;1012;C
T20-8;20;952;C